business name,distance in miles,phone number,category,address,address 2,address 3,city,state,zip
Windermere Dental Group,6.43,+14072941132,"Orthodontists,Cosmetic Dentists,General Dentistry",6996 Piazza Grande Ave,Ste 209,,Orlando,FL,32835
Advance Dental Care,10.11,+14076748754,General Dentistry,14050 Town Loop Blvd,,,Orlando,FL,32837
"Gerald M Levine, DMD",5.13,+14072940067,"General Dentistry,Cosmetic Dentists",4558 S Kirkman Rd,,,Orlando,FL,32811
South Orlando Dental Center,7.11,+14078579888,"Cosmetic Dentists,General Dentistry",11222 S Orange Blossom Trl,,,Orlando,FL,32837
Collins Dental,12.24,+14076999831,"Cosmetic Dentists,General Dentistry,Orthodontists",5744 Canton Cv,,,Winter Springs,FL,32708
Orofacial & Dental Implant Surgery,11.44,+14073805855,"General Dentistry,Oral Surgeons",12780 Waterford Lakes Pkwy,,,Orlando,FL,32828
Smiles for Life,2.0,+14078127499,General Dentistry,5724 Hansel Ave,,,Orlando,FL,32809
"Hans R Koenig, DMD PA",5.11,+14072776272,"Cosmetic Dentists,General Dentistry,Periodontists",500 N Semoran Blvd,,,Orlando,FL,32807
"Donald R. McGee, DMD, PA",0.72,+14078430295,"General Dentistry,Cosmetic Dentists",494 E Illiana St,,,Orlando,FL,32806
Serene Dental,6.67,+14074340243,"General Dentistry,Pediatric Dentists,Cosmetic Dentists",275 S Chickasaw Trl,,,Orlando,FL,32825
Transcend Dental,3.23,+14072757700,General Dentistry,4435 Curry Ford Rd,,,Orlando,FL,32812
Arenz Dental,2.83,+14072731469,"Cosmetic Dentists,General Dentistry",3221 S Conway Rd,Ste B,,Orlando,FL,32812
"Richard J Arkins, DMD",1.24,+14078942336,General Dentistry,2712 S Ferncreek Ave,,,Orlando,FL,32806
Sage Dental of Conway,3.19,+14072184744,"Cosmetic Dentists,Oral Surgeons,Orthodontists",4441 Hoffner Ave,,,Orlando,FL,32812
Venetian Pointe Dentistry,6.21,+14073526959,General Dentistry,5940 Turkey Lake Rd,,,Orlando,FL,32819
"Ardin Manalo, DMD",4.56,+14072460104,General Dentistry,5301 Conroy Rd,Ste 100,,Orlando,FL,32811
Midtown Modern Dentistry,10.01,+14077067000,"General Dentistry,Oral Surgeons,Endodontists",9439 Forest City Cv,Ste 1070,,Altamonte Springs,FL,32714
"Baez Ignacio A, DMD",0.66,+14074383777,General Dentistry,300 Gatlin Ave,,,Orlando,FL,32806
"Stanley Asensio, DMD",7.49,+14074387177,"General Dentistry,Endodontists,Cosmetic Dentists",2144 Whisper Lakes Blvd,,,Orlando,FL,32837
"Gillman Thomas P, DDS",0.67,+14078517740,"Endodontists,General Dentistry",300 Gatlin Ave,,,Orlando,FL,32806
Modern Smiles Dentistry,12.44,+14079854401,"General Dentistry,Cosmetic Dentists,Endodontists",13816 Narcoossee Rd,Ste B,,Orlando,FL,32832
"Ong John R, DDS",3.23,+14072757700,"Endodontists,Cosmetic Dentists",4435 Curry Ford Rd,,Transcend Dental,Orlando,FL,32812
"Danielson Harry F, DDS PA",5.66,+14078982972,General Dentistry,3600 Formosa Ave,,,Orlando,FL,32804
Rizzo Dental Group,5.47,+14075218765,"Cosmetic Dentists,General Dentistry,Periodontists",6150 Metrowest Blvd,Ste 207,,Orlando,FL,32835
"John E Russo, DMD",3.3,+14078432112,"General Dentistry,Cosmetic Dentists",430 N Mills Ave,Ste 3,,Orlando,FL,32803
"Haroldo J Otero, DMD",5.27,+14078967583,"General Dentistry,Cosmetic Dentists",2921 North Orange Ave,,,Orlando,FL,32804
Smile Solutions,8.62,+14072402255,"Cosmetic Dentists,General Dentistry",12720 S Orange Blossom Trl,Ste 22,,Orlando,FL,32837
"Anthony F Oswick, DMD",5.77,+14078760290,"General Dentistry,Cosmetic Dentists",,,,Orlando,FL,32819
Orlando Endodontic Specialists,3.5,+14074237667,Endodontists,610 N Mills Ave,Ste 210,,Orlando,FL,32803
"Thomas G Overmeyer, DDS",2.84,+13214458544,General Dentistry,3221 S Conway Rd,Ste C,,Orlando,FL,32812
"Enrique Rovira, DMD",3.58,+14072826380,General Dentistry,5110 Curry Ford Rd,Ste A,,Orlando,FL,32812
Andover Dental,8.4,+14072818885,"General Dentistry,Cosmetic Dentists,Pediatric Dentists",10220 Curry Ford Rd,,,Orlando,FL,32825
"Harrison John R, DDS PA",6.41,+14072913600,General Dentistry,7463 Conroy Windermere Rd,Ste B,,Orlando,FL,32835
Dream Dental Services,11.44,+14074760897,"General Dentistry,Cosmetic Dentists,Orthodontists",210 Loraine Dr,,,Altamonte Springs,FL,32714
Orlando Dental Group,3.14,+14078550474,"General Dentistry,Cosmetic Dentists,Endodontists",7221 Chancery Ln,,,Orlando,FL,32809
Paradise Dental of Orlando,4.91,+14073704600,"Cosmetic Dentists,General Dentistry",8351 S John Young Pkwy,,,Orlando,FL,32819
Coast Dental,0.46,+14078512255,"General Dentistry,Orthodontists,Cosmetic Dentists",4401 S Orange Ave,Ste 106,,Orlando,FL,32806
"Dale A Rolando, DMD FAGD & Sue E Rolando, DMD",3.65,+14078987401,General Dentistry,4396 Lake Underhill Rd,,,Orlando,FL,32803
Bay Hill Family Dental,8.18,+14073517083,"General Dentistry,Cosmetic Dentists,Periodontists",6080 S Apopka Vineland Rd,,,Orlando,FL,32819
"Puig Elena C, DMD PA",3.59,+14078955600,General Dentistry,1600 Hillcrest St,,,Orlando,FL,32803
Lake Lucerne Lifestyle Dentistry,2.15,+14074254901,"Cosmetic Dentists,General Dentistry,Periodontists",112 S Lucerne Cir E,,,Orlando,FL,32801
Acosta Cosmetic & Family Dentistry,7.18,+14076454741,"General Dentistry,Cosmetic Dentists",2001 Lee Rd,Ste B,,Winter Park,FL,32789
Martin Orthodontics,4.81,+14078986711,Orthodontists,863 Outer Rd,,,Orlando,FL,32814
Behner Family Dentistry,11.13,+14075454151,"General Dentistry,Periodontists,Cosmetic Dentists",934 E Altamonte Dr,,,Altamonte Springs,FL,32701
Aspen Dental,11.01,+14072777773,"Oral Surgeons,General Dentistry,Cosmetic Dentists",1100 N Alafaya Trl,Ste 160,,Orlando,FL,32828
Magnolia Dental,11.38,+14072059585,"Cosmetic Dentists,Pediatric Dentists,Orthodontists",12014 E Colonial Dr,Ste 130,,Orlando,FL,32826
Gordy Family Dental,4.24,+14074221130,General Dentistry,1216 Edgewater,,,Orlando,FL,32804
Dentila,10.61,+14073807046,"General Dentistry,Periodontists,Cosmetic Dentists",422 S Alafaya Trl,Ste 27,,Orlando,FL,32828
Five Star Dental,7.73,+14072263350,General Dentistry,7800 W Sand Lake Rd,Ste 220,,Orlando,FL,32819
Thornton Dental Centre,3.53,+14076480000,General Dentistry,630 N Thornton Ave,,,Orlando,FL,32803
Bay Hill Family Dentistry,8.01,+14073517083,"General Dentistry,Cosmetic Dentists",6080 S Apopka Vineland Rd,,Bay Hill Family Dental,Orlando,FL,32819
Oral Hygiene Dental,3.87,+14079002980,"General Dentistry,Endodontists,Periodontists",1650 Sand Lake Rd,Ste 106,,Orlando,FL,32809
Greenberg Dental and Orthodontics,4.47,+14075140400,Orthodontists,4307 E Colonial Dr,,E Colonial Office,Orlando,FL,32803
"Michael P Marfori, DMD",9.84,+14078591418,Pediatric Dentists,4151 Hunters Park Ln,Ste 124,,Orlando,FL,32837
"Jerald W Grimes, DDS., LLC",10.86,+14076581111,General Dentistry,1525 S Alafaya Trl,Ste 103,,Orlando,FL,32828
Sage Dental of Windermere,7.02,+14074348344,"Cosmetic Dentists,General Dentistry,Orthodontists",5122 Dr Phillips Blvd,,,Orlando,FL,32819
FairWater Dental Group,6.64,+14076289091,General Dentistry,1221 Fairbanks Ave,,,Orlando,FL,32804
Central Florida Oral and Maxillofacial Surgery,3.5,+14078432261,"Oral Surgeons,Medical Spas",610 N Mills Ave,,,Orlando,FL,32803
"Sipp Randall William, DMD PA",6.38,+14076280111,General Dentistry,2715 W Fairbanks Ave,Ste 100,,Winter Park,FL,32789
Silver Star Dental Center,6.82,+14072911997,General Dentistry,5028 Silver Star Rd,,,Orlando,FL,32808
"Buchs Andre U, DMD",3.5,+14078432261,General Dentistry,610 N Mills Ave,,,Orlando,FL,32803
"Gerald M Levine, DMD",6.61,+14078500489,General Dentistry,3300 S Hiawassee Rd,Ste 101,,Orlando,FL,32835
Orlando Smiles,8.01,+14072698873,"Cosmetic Dentists,General Dentistry,Oral Surgeons",6068 S Apopka Vineland Rd,Ste 4,,Orlando,FL,32819
Sunshine Dental Group,3.03,+14072822313,"Cosmetic Dentists,General Dentistry",4656 E Michigan St,,,Orlando,FL,32812
Oral & Facial Surgery Center,7.86,+14073526301,"Oral Surgeons,General Dentistry,Cosmetic Dentists",7932 W Sand Lake Rd,Ste 109,,Orlando,FL,32819
Alafaya Dental Associates PA,11.89,+14073811960,"General Dentistry,Cosmetic Dentists",12231 E Colonial Dr,Ste 150,,Orlando,FL,32826
Bella Bella Family & Cosmetic Dentistry,21.36,+13522418471,"General Dentistry,Cosmetic Dentists",3185 Citrus Tower Blvd,,,Clermont,FL,34711
Greenberg Dental & Orthodontics,3.25,+14074825855,"Orthodontists,Pediatric Dentists,General Dentistry",4442 Curry Ford Rd,,,Orlando,FL,32812
Escott Orthodontics,5.01,+14076485511,Orthodontists,2511 Edgewater Dr,,,Orlando,FL,32804
"Haroldo J Otero, DMD",5.27,+14078967583,General Dentistry,2921 N Orange Ave,,,Orlando,FL,32804
Anderson and Moopen Orthodontics,2.79,+14076580280,Orthodontists,3150 S Conway Rd,,,Orlando,FL,32812
All in One Dentistry and Braces,15.34,+14073279566,"Cosmetic Dentists,General Dentistry,Pediatric Dentists",1122 E State Rd 434,Ste 1020,,Orlando,FL,32708
Lake Nona Orthodontic Specialists,12.37,+14072037967,"Orthodontists,General Dentistry",13832 Narcoossee Rd,Ste B101,,Orlando,FL,32832
Windermere Center For Dentistry,9.6,+14079091097,Cosmetic Dentists,401 Main St,Ste A,,Windermere,FL,34786
DellagioDentist.com,8.0,+14073514104,General Dentistry,8060 Via Dellagio Way,,,Orlando,FL,32819
"Jeffrey Pacha, DDS",8.83,+14076471346,"General Dentistry,Cosmetic Dentists,Endodontists",320 N Maitland Ave,Ste B,,Maitland,FL,32751
"David F Sutton,DMD, PA",6.38,+14075783093,Dentists,2183 S Hiawassee Rd,Ste 105,,Orlando,FL,32835
Castro Axel Dr,11.02,+14073807046,General Dentistry,12301 Lake Underhill Rd,,,Orlando,FL,32828
Aesthetic & General Dentistry,10.04,+14072515100,"General Dentistry,Cosmetic Dentists,Endodontists",14009 Egret Tower Dr,,,Orlando,FL,32837
"Michelle J Charles, DDS",5.2,+14072777500,General Dentistry,544 N Semoran Blvd,,,Orlando,FL,32807
Coast Dental - Metro West,5.84,+14072938324,"General Dentistry,Endodontists,Cosmetic Dentists",1603 S Hiawassee Rd,Ste 135,,Orlando,FL,32835
Jose Marcano,0.72,+14078551471,"Cosmetic Dentists,General Dentistry",4861 S Orange Ave,Ste A,,Orlando,FL,32806
Orlando Family Dental,6.61,+14072959096,"Endodontists,Cosmetic Dentists,Oral Surgeons",3300 S Hiawassee Rd,Ste 101,,Orlando,FL,32835
"Murad Thakur, DDS",4.07,+14072757703,"Cosmetic Dentists,Oral Surgeons",5480 Curry Ford Rd,,,Orlando,FL,32812
Pine Dental Health,6.76,+14072909568,General Dentistry,1429 N Pine Hills Rd,,,Orlando,FL,32808
Hunter's Creek Dental Center,10.09,+14074597176,"General Dentistry,Cosmetic Dentists,Endodontists",3924 Town Center Blvd,,,Orlando,FL,32837
Metro West Village Family Dentistry,6.45,+14075783734,"Periodontists,Orthodontists,Cosmetic Dentists",2295 S Hiawassee Rd,Ste 216,,Orlando,FL,32835
Heidrich Paul D Jr MD,7.16,+14076444441,General Dentistry,1950 Mizell Ave,,,Winter Park,FL,32792
Amber Dental Care,5.93,+14072820134,General Dentistry,1009 Amber Rd,,,Orlando,FL,32807
Premiere Orthodontics,10.56,+14073813335,Orthodontists,448 S Alafaya Trl,Ste 10,,Orlando,FL,32828
Advanced Dental Care of Orlando,10.99,+14075453810,"Orthodontists,General Dentistry,Cosmetic Dentists",12131 S Apopka Vineland Rd,,,Orlando,FL,32836
Greenberg Dental & Orthodontics,5.12,+14072927373,"Oral Surgeons,Orthodontists,General Dentistry",4732 S Kirkman Rd,,,Orlando,FL,32811
"Gustavo De Oliveira, DMD PA",2.15,+14074254901,"Cosmetic Dentists,General Dentistry",112 S Lucerne Cir E,,,Orlando,FL,32801
Natural Smiles,8.66,+14076778888,"General Dentistry,Cosmetic Dentists",4063 N Goldenrod Rd,Ste 4,,Winter Park,FL,32792
"Youssef Nabil, DMD",1.07,+14074269933,"Cosmetic Dentists,General Dentistry",2116 S Orange Ave,,,Orlando,FL,32806
Orlando Endodontic Specialists - Waterford Lakes,11.02,+14075819515,Endodontists,12301 Lake Underhill Rd,Ste 104,,Orlando,FL,32828
Stoneybrook Dental,14.72,+14078770141,"Cosmetic Dentists,Pediatric Dentists,Periodontists",15502 Stoneybrook W Pkwy,Ste 126,,Winter Garden,FL,34787
"Carlos R Colon-Bengoa, DDS FAGD PA",9.93,+14075235400,"General Dentistry,Pediatric Dentists,Cosmetic Dentists",1151 Blackwood Ave,Ste130,,Ocoee,FL,34761
Family First Dental,14.73,+14078466353,"Cosmetic Dentists,General Dentistry,Endodontists",820 Emmett St,,,Orlando,FL,34741
Designer Smiles,5.29,+14079881563,"General Dentistry,Cosmetic Dentists",316 Groveland St,,,Orlando,FL,32804
"Kanter Keith G, DDS",0.72,+14078512996,Endodontists,4861 S Orange Ave,Ste C,,Orlando,FL,32806
"Maria Kashlak, DMD",8.01,+14078760290,"General Dentistry,Periodontists,Cosmetic Dentists",6068 S Apopka Vineland Rd,Ste 6,,Orlando,FL,32819
Colonialtown Dental,3.47,+14074223811,"General Dentistry,Periodontists,Cosmetic Dentists",602 N Thornton Ave,,,Orlando,FL,32803
"Javier E Martinez, DDS MS",10.23,+14076568080,"General Dentistry,Cosmetic Dentists",2702 Rew Cir,Ste B,,Ocoee,FL,34761
Smile Direct Club,4.85,+14075024037,"Orthodontists,Cosmetic Dentists",2211 Edgewater Dr,,,Orlando,FL,32804
Exclusive Dentistry,8.29,+14076584060,"General Dentistry,Cosmetic Dentists",250 N Alafaya Trl,Ste 125,,Orlando,FL,32825
Coast Dental,6.6,+14072939573,"General Dentistry,Endodontists,Orthodontists",6432 W Colonial Dr,,,Orlando,FL,32818
Grace Dental,0.89,+14078514588,General Dentistry,4961 S Orange Ave,,,Orlando,FL,32806
Metrowest Family Dental,5.95,+14072954600,General Dentistry,6429 Raleigh St,,,Orlando,FL,32835
Coast Dental,4.35,+14072280132,"General Dentistry,Orthodontists,Cosmetic Dentists",3907 E Colonial Dr,,,Orlando,FL,32803
"Paul Helsby, DDS",8.7,+14076781601,General Dentistry,,,,Winter Park,FL,32792
Trinity EndoGroup,6.43,+14075211977,Endodontists,6996 Piazza Grande Ave,Ste 204,,Orlando,FL,32835
Diaz Orthodontics,9.84,+14072332920,Orthodontists,4151 Hunters Park Ln,Ste 148,,Orlando,FL,32837
Sage Dental of Dr. Phillips,7.29,+14077810386,"General Dentistry,Cosmetic Dentists,Endodontists",7341 W Sand Lake Rd,,,Orlando,FL,32819
Altamonte Dental Associates,10.97,+14077748834,"Cosmetic Dentists,General Dentistry,Periodontists",195 S Westmonte Dr,Ste 1112,,Orlando,FL,32714
East Orlando Dental,11.1,+14072822101,"General Dentistry,Cosmetic Dentists,Pediatric Dentists",11780 E Colonial Dr,,,Orlando,FL,32817
Winter Park Smiles,7.46,+14076781601,"General Dentistry,Cosmetic Dentists,Prosthodontists",2100 Aloma Ave,Ste 200,,Winter Park,FL,32792
Americana Family Dentistry,2.09,+14078500133,General Dentistry,2067 Americana Blvd,,,Orlando,FL,32839
"John Gammichia, DMD FAGD",15.99,+14078894868,"Cosmetic Dentists,General Dentistry,Endodontists",450 Errol Pkwy,,,Apopka,FL,32712
Oviedo Premier Dental,15.85,+14079776464,General Dentistry,1445 E Mitchell Hammock Rd,,,Oviedo,FL,32765
Lancaster Dental,3.56,+14078556616,General Dentistry,847 Sand Lake Rd,,,Orlando,FL,32809
Central Florida Cosmetic & Family Dentistry,11.04,+14074839990,General Dentistry,3268 Greenwald Way N,,,Kissimmee,FL,34741
Sage Dental of Waterford Lakes,10.96,+13212818555,"Cosmetic Dentists,Orthodontists,Endodontists",688 N Alafaya Trl,Ste 107,,Orlando,FL,32828
Winter Garden Smiles,13.14,+14076145955,"Pediatric Dentists,General Dentistry,Cosmetic Dentists",1291 Winter Garden Vineland Rd,Ste 140,,Winter Garden,FL,34787
Zargari John DDS PA,10.17,+14076540070,General Dentistry,2650 Maguire Rd,,,Ocoee,FL,34761
Your Downtown Dentistry,3.4,+14075454133,"Pediatric Dentists,Periodontists,Cosmetic Dentists",611 N Magnolia Ave,,,Orlando,FL,32801
Celebration Dental Group,5.45,+14073519704,"Periodontists,Orthodontists,General Dentistry",6001 Vineland Rd,,,Orlando,FL,32819
Innovative Endodontics,7.96,+14074340305,Endodontists,7352 Stonerock Cir,Ste B,,Orlando,FL,32819
"Dann Carl IV, DDS, MS",8.96,+14078943271,Orthodontists,7221 Aloma Ave,Ste 100,,Orlando,FL,32803
Park Dental,9.68,+14076718901,"General Dentistry,Cosmetic Dentists,Periodontists",6001 Brick Ct,Ste 101,,Winter Park,FL,32792
East Orange Endodontics,9.5,+14077047863,Endodontists,10800 Dylan Loren Cir,Ste 103,,Orlando,FL,32825
East West Dental Orlando,4.87,+14072755844,"Pediatric Dentists,Orthodontists,Cosmetic Dentists",201 S Semoran Blvd,,,Orlando,FL,32807
Alafaya Dental Care,13.42,+14073668989,"Oral Surgeons,General Dentistry,Cosmetic Dentists",2984 Alafaya Trl,Ste 2030,,Oviedo,FL,32765
Lemieux Peter G DMD,6.03,+14076442700,General Dentistry,1185 Orange Ave,,,Winter Park,FL,32789
"Jennifer Ortega, DMD",7.33,+14076453636,"General Dentistry,Periodontists,Cosmetic Dentists",201 Moray Ln,Ste A,,Winter Park,FL,32792
"Fay Hu General Dentistry: Fay Hu, D.M.D.",6.65,+14074872091,"General Dentistry,Oral Surgeons,Cosmetic Dentists",800 W Morse Blvd,Ste 3B,,Winter Park,FL,32789
Main Street Children's Dentistry And Orthodontics Of Winter Park,7.09,+14077920637,"Pediatric Dentists,General Dentistry",501 N Orlando Ave,Ste 233,,Winter Park,FL,32789
Carlyle Orthodontics,6.76,+14074479060,Orthodontists,8255 Lee Vista Blvd,,,Orlando,FL,32829
"Angel Isaac, DDS",8.01,+14073516907,"Oral Surgeons,Periodontists",6068 S Apopka Vineland Rd,Ste 2,,Orlando,FL,32819
"David J Blue, DMD",8.7,+14076712300,"General Dentistry,Endodontists,Cosmetic Dentists",3025 Aloma Ave,,,Winter Park,FL,32792
"Danielson Richard R, DDS",3.83,+14078510784,"General Dentistry,Periodontists",1325 Florida Mall Ave,,,Orlando,FL,32809
Smile Direct Club,5.37,+13213321206,"Orthodontists,Cosmetic Dentists",7350 Futures Dr,Ste 22,,Orlando,FL,32809
Smile Design Orange Blossom Trail,8.14,+14078900873,"Pediatric Dentists,Endodontists,Cosmetic Dentists",12329 S Orange Blossom Trl,,,Orlando,FL,32837
Lakeside Family Dentistry,12.63,+14076568545,Dentists,13402 Summerport Village Pkwy,Ste 502,,Windermere,FL,34786
Bright Now! Dental,11.3,+13213540905,"General Dentistry,Orthodontists,Cosmetic Dentists",785 North Alafaya Trl,,,Orlando,FL,32828
Concord Dental,3.46,+14078963393,General Dentistry,1204 E Concord St,,,Orlando,FL,32803
Omega Dental Group PA,8.9,+14076711017,"General Dentistry,Cosmetic Dentists",7200 Aloma Ave,Ste D,Tangerine Professional Center,Winter Park,FL,32792
Orofacial & Dental Implant Surgery,7.96,+14073510575,Oral Surgeons,7352 Stonerock Cir,,,Orlando,FL,32819
Emergency Dentistry,2.62,+18882449997,General Dentistry,207 S Magnolia Ave,,,Orlando,FL,32801
OBT  Dental,6.28,+14078578585,"General Dentistry,Orthodontists,Cosmetic Dentists",9753 S Orange Blossom Trl,,,Orlando,FL,32837
"Star Dental, DDS",4.11,+14073813377,General Dentistry,4501 S Semoran Blvd,,,Orlando,FL,32822
Advanced Dental Care of Ocoee,9.82,+14074775004,"General Dentistry,Cosmetic Dentists,Endodontists",1231 Blackwood Ave,,,Ocoee,FL,34761
South Goldenrod Dental Care,6.04,+14072776100,"Cosmetic Dentists,General Dentistry",680 S Goldenrod Rd,,,Orlando,FL,32822
Dental Designs at Lakeside Village,11.83,+14076148796,"General Dentistry,Endodontists,Cosmetic Dentists",7828 Winter Garden Vineland Rd,,,Windermere,FL,34786
"Jolyon A Lamwatt, DMD",8.01,+14073529687,General Dentistry,6068 S Apopka Vineland Rd,Ste 7,,Orlando,FL,32819
"Matthew E. Scarpitti, DDS, PA",10.87,+14076581111,"General Dentistry,Cosmetic Dentists,Endodontists",1525 S Alafaya Trl,Ste 103,,Orlando,FL,32828
East Colonial Dental Group,4.55,+14072282251,"General Dentistry,Periodontists",4401 E Colonial Dr,Ste 108,,Orlando,FL,32803
Mobile Dental ER,5.77,+14079550743,"General Dentistry,Orthodontists,Cosmetic Dentists",,,,Orlando,FL,32819
Trevisani Oral Surgery,9.91,+14077649900,"Oral Surgeons,Cosmetic Dentists",11317 Lake Underhill Rd,Ste 200,,Orlando,FL,32828
"Moody & Mikulka, DDS",4.59,+14078394822,"Oral Surgeons,General Dentistry,Periodontists",5385 Conroy Rd,Ste 101,,Orlando,FL,32811
Eastwood Dental,10.88,+14072490818,Cosmetic Dentists,1549 S Alafaya Trl,Ste 300,,Orlando,FL,32828
Cosmetic & Family Dentistry,6.59,+14074400692,General Dentistry,6900 Turkey Lake Rd,Ste 1-9,,Orlando,FL,32819
Clermont Family Dentistry,21.64,+13522421763,General Dentistry,12344 Roper Blvd,,,Clermont,FL,34711
Starbase Dental,5.91,+14075320192,General Dentistry,6735 Conroy Windermere Rd,Ste 202,,Orlando,FL,32835
Dental Care at Dr Phillips,7.5,+14073451442,"General Dentistry,Cosmetic Dentists",7051 Dr Phillips Blvd,Ste 10,,Orlando,FL,32819
All Smiles Dental,9.97,+14075210081,General Dentistry,1148 Kelton Ave,,,Ocoee,FL,34761
"Hyung Jun Kong, DDS - Prime Dental",8.66,+13219728870,"General Dentistry,Endodontists,Cosmetic Dentists",2828 Casa Aloma Way,Ste 700,,Winter Park,FL,32792
Desai Dental,5.24,+14078983471,General Dentistry,2909 N Orange Ave,Ste 202,,Orlando,FL,32804
Kidz Choice Pediatric Dentistry,3.38,+14074222617,Pediatric Dentists,508 N Mills Ave,Ste B,,Orlando,FL,32803
Waterford Lakes Dental,10.98,+14073826122,General Dentistry,316 N Alafaya Trl,,,Orlando,FL,32828
"Milton A Clement, DDS",3.47,+14074223811,"General Dentistry,Periodontists,Cosmetic Dentists",602 N Thornton Ave,,,Orlando,FL,32803
Coast Dental - Tuscawilla,11.74,+14076964474,"General Dentistry,Cosmetic Dentists,Orthodontists",5285 Red Bug Lake Rd,Ste 105,,Winter Springs,FL,32708
Universal Dental Center,6.23,+14072480484,"General Dentistry,Orthodontists,Cosmetic Dentists",6000 Turkey Lake Rd,Ste 109,,Orlando,FL,32819
Lake Forest Family Dentistry,21.46,+14073289398,General Dentistry,5264 W State Rd 46,Ste 1000,,Sanford,FL,32771
Halo Dental,3.75,+14078961225,General Dentistry,743 N Ferncreek Ave,,,Orlando,FL,32803
Yes! Dental Associates of Florida,13.96,+14078478000,"Pediatric Dentists,Endodontists,General Dentistry",701 E Oak St,Ste B,,Orlando,FL,34744
Baptiste Orthodontics,7.9,+14072172927,Orthodontists,8907 Conroy Windermere Rd,Ste E2,,Orlando,FL,32835
"Lawrence D Mund, DDS",6.51,+14072753399,"Oral Surgeons,Cosmetic Dentists",2206 S Chickasaw Trl,,,Orlando,FL,32825
"C Scott Schmitt, DMD MS",10.33,+14074784960,"Cosmetic Dentists,General Dentistry",707 Pennsylvania Ave,Ste 1100,,Altamonte Springs,FL,32701
Beltran Periodontics,5.86,+14077814188,Periodontists,1507 S Hiawassee Rd,Ste 201,,Orlando,FL,32835
Colonial Drive Family Dentistry,9.75,+14072956993,"General Dentistry,Cosmetic Dentists",10169 W Colonial Dr,,,Ocoee,FL,34761
Dimauro Michael P DDS PA,8.09,+14073524800,Pediatric Dentists,7424 Docs Grove Cir,,,Orlando,FL,32819
Blandon Dental DDS PA,10.61,+14073816000,General Dentistry,422 S Alafaya Trl,Ste 18,,Orlando,FL,32828
"David M Hinton, DDS ,PA",7.55,+14073630365,Cosmetic Dentists,7575 Dr Phillips Blvd,,,Orlando,FL,32819
Kissimmee Family Dentistry,14.01,+14078707404,"General Dentistry,Cosmetic Dentists",1111 Person St,,,Kissimmee,FL,34741
Rodriguez-Viera Arelis DMD PA,0.65,+14074259333,Pediatric Dentists,2883 Delaney Ave,,,Orlando,FL,32806
"James E Hardy, DMD PA - Health-Centered Dentistry",7.11,+14076783399,Cosmetic Dentists,213 Edinburgh Dr,,,Winter Park,FL,32792
Pranati S. Chokshi DMD,10.73,+14076549905,"General Dentistry,Endodontists,Cosmetic Dentists",11157 W Colonial Dr,,,Ocoee,FL,34761
Acecare Dental & Orthodontics,8.91,+14079607999,"General Dentistry,Cosmetic Dentists,Orthodontists",1555 Howell Branch Rd,Ste A4,,Winter Park,FL,32789
Econ Dental,9.48,+13219728312,"General Dentistry,Periodontists,Cosmetic Dentists",3823 N Econlockhatchee Trl,Unit D-4,,Orlando,FL,32817
True Health,11.36,+14073228645,"General Dentistry,Pediatricians,Community Service/Non-Profit",11881A E Colonial Dr,,,Orlando,FL,32826
Hancock Village Dental,20.36,+13529895815,"General Dentistry,Cosmetic Dentists,Endodontists",2560 E Hwy 50,Ste 103,,Clermont,FL,34711
The Dental Society of Greater Orlando,3.73,+14078949798,General Dentistry,800 N Mills Ave,,,Orlando,FL,32803
Celebration Pediatric Dentistry,17.52,+14075664646,Pediatric Dentists,1530 Celebration Blvd,Ste 411,Celebration Pediatric Dentistry,Celebration,FL,34747
"Mark F Halek, DDS PA",12.19,+14077744433,"General Dentistry,Cosmetic Dentists",660 Executive Park Ct,Ste 1600,Spa Touch Dentistry,Apopka,FL,32703
Distinctive Dentistry on Maitland,10.28,+14078309800,"General Dentistry,Cosmetic Dentists",609 Maitland Ave,Ste 1,,Altamonte Springs,FL,32701
Sage Dental of University,12.24,+14077810449,"Cosmetic Dentists,Oral Surgeons,Endodontists",12250 Strategy Blvd,Ste 437,,Orlando,FL,32817
Central Florida Orthodontic Specialists,3.84,+14078094448,Orthodontists,730 Sand Lake Rd,Ste 124,,Orlando,FL,32809
Your Oviedo Dentist,15.42,+14079779888,"General Dentistry,Cosmetic Dentists",425 Tutus Point,,,Oviedo,FL,32765
Advanced Dental Care at RDV Sportsplex,9.31,+13215942624,"Cosmetic Dentists,General Dentistry,Endodontists",8701 Maitland Summit Blvd,,,Orlando,FL,32810
Glover Dental Group Cosmetic and Implant Dentistry,5.86,+14075670941,"Cosmetic Dentists,General Dentistry,Cosmetic Surgeons",1507 S Hiawassee Rd,Ste 209,,Orlando,FL,32835
"Bliss Robert M, DMD",13.32,+14073591274,"General Dentistry,Cosmetic Dentists,Endodontists",2990 Bliss Cv,Ste 1000,,Oviedo,FL,32765
Orlando Periodontics & Implants,11.03,+14072773300,"Periodontists,Oral Surgeons,Cosmetic Dentists",12301 Lake Underhill Rd,Ste 107,,Orlando,FL,32828
"Maxine Moncrieffe, DDS",9.43,+14072074416,Cosmetic Dentists,10843 Dylan Loren Cir,,Orlando Dentist Family & Cosmetic,Orlando,FL,32825
Dr Maritza De Jesus,10.05,+14078260111,Dentists,14055 Town Loop Blvd,,,Orlando,FL,32837
